station,station name,station name english,on_line
tokyo-metro-早稲田駅,早稲田駅,Waseda,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-神楽坂駅,神楽坂駅,Kagurazaka,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-飯田橋駅,飯田橋駅,Iidabashi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-九段下駅,九段下駅,Kudanshita,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-竹橋駅,竹橋駅,Takebashi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-大手町駅,大手町駅,Ōtemachi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-日本橋駅,日本橋駅,Nihombashi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-茅場町駅,茅場町駅,Kayabachō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-門前仲町駅,門前仲町駅,Monzen-Nakachō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-木場駅,木場駅,Kiba,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-東陽町駅,東陽町駅,Tōyōchō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-南砂町駅,南砂町駅,Minami-Sunamachi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-西葛西駅,西葛西駅,Nishi-Kasai,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-葛西駅,葛西駅,Kasai,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-浦安駅,浦安駅,Urayasu,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-南行徳駅,南行徳駅,Minami-Gyōtoku,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-行徳駅,行徳駅,Gyōtoku,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-妙典駅,妙典駅,Myōden,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-原木中山駅,原木中山駅,Baraki-Nakayama,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-西船橋駅,西船橋駅,Nishi-Funabashi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-T
tokyo-metro-代々木上原駅,代々木上原駅,Yoyogi-Uehara,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-代々木公園駅,代々木公園駅,Yoyogi-Kōen,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-明治神宮前〈原宿〉駅,明治神宮前〈原宿〉駅,Meiji-Jingūmae (Harajuku),http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-表参道駅,表参道駅,Omotesandō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-乃木坂駅,乃木坂駅,Nogizaka,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-赤坂駅,赤坂駅,Akasaka,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-国会議事堂前駅,国会議事堂前駅,Kokkai-Gijidō-mae,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-霞ケ関駅,霞ケ関駅,Kasumigaseki,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-日比谷駅,日比谷駅,Hibiya,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-二重橋前駅,二重橋前駅,Nijūbashimae,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-大手町駅,大手町駅,Ōtemachi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-新御茶ノ水駅,新御茶ノ水駅,Shin-Ochanomizu,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-湯島駅,湯島駅,Yushima,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-根津駅,根津駅,Nezu,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-千駄木駅,千駄木駅,Sendagi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-西日暮里駅,西日暮里駅,Nishi-Nippori,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-町屋駅,町屋駅,Machiya,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-北千住駅,北千住駅,Kita-Senju,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
tokyo-metro-綾瀬駅,綾瀬駅,Ayase,http://datadock.io/kal/data/id/resource/line/tokyo-metro-C
